"date","air_tavg","air_tmax","air_tmin","et_short_crop","et_tall_crop","rainfall"
2022-05-15,13.5,18.5,9.8,1.35,1.46,0.6
2022-05-16,12.8,21.6,6,2.25,2.5,0
2022-05-17,15,26.3,5.2,2.33,2.8,0
2022-05-18,15.6,22,12.3,1.43,1.64,0.4
2022-05-19,15.4,21.5,11.2,1.37,1.49,4.2
2022-05-20,17,23.3,12.4,1.38,1.49,0
2022-05-21,16.4,26.3,9.7,2.32,2.59,0
2022-05-22,14.4,24.9,7.8,1.68,2.19,0.2
2022-05-23,13.9,17.7,12.1,0.8,1.06,4.4
2022-05-24,16.6,21.3,12.7,1.91,2.35,8.6
2022-05-25,12.9,20.7,7.9,1.38,1.49,0.2
2022-05-26,13.4,22.1,5.5,2.02,2.19,0.2
2022-05-27,15.7,24.5,8.3,2.16,2.39,0
2022-05-28,15.5,23.8,9.5,2.39,2.82,0
2022-05-29,10.9,18.1,4.8,2.18,2.83,0
2022-05-30,10.8,17.1,3,1.3,1.57,0
2022-05-31,12.4,17.1,9.1,1.27,1.51,0
2022-06-01,10.9,19.2,4.1,1.64,1.8,0
2022-06-02,10.6,20,3.7,1.6,1.89,0
2022-06-03,9.8,19,3.1,1.51,1.63,0
2022-06-04,8,16.4,0.7,1.43,1.68,0
2022-06-05,8.7,16.5,1.9,1.03,1.2,0
2022-06-06,11,17.5,6.1,1.59,1.93,0
2022-06-07,11.3,19.4,3.6,1.91,2.35,0
2022-06-08,13.9,20.3,9.4,1.53,2.11,0
2022-06-09,13.9,18.7,10.6,1.15,1.36,4.2
2022-06-10,16.1,22.6,11.7,1.01,1.27,3.8
2022-06-11,16.5,20.6,15.4,0.74,0.79,5.6
2022-06-12,15,18.7,12.7,1.08,1.31,12.2
2022-06-13,13.8,18.7,10.1,1.37,1.79,7.2
2022-06-14,12.3,17.9,6.9,0.96,1.08,0.2
2022-06-15,13.1,20.1,6.5,1.52,1.85,0.2
2022-06-16,13.2,21.8,7.2,1.56,1.72,0
2022-06-17,14.5,19.7,9,0.67,0.8,0.2
2022-06-18,12.6,16.4,10.1,1,1.22,14.8
2022-06-19,13.5,18.5,10.4,1.21,1.47,2.8
2022-06-20,12.3,18.9,7.1,1.23,1.33,0.4
2022-06-21,13.3,20.2,7.8,1.84,2.12,0
2022-06-22,13.2,23,5.6,1.88,2.14,0.2
2022-06-23,13.5,21.4,8.1,0.96,1.02,0.2
2022-06-24,13.2,18.7,9.8,1.5,1.63,0.2
2022-06-25,10.4,18.7,3.9,1.69,1.86,0.2
2022-06-26,10.7,21.4,2.9,1.77,1.94,0
2022-06-27,12.2,22.2,3.7,1.48,1.72,0.2
2022-06-28,9.3,16.8,3.6,1.7,1.94,0
2022-06-29,9.2,16.1,3.2,1.65,1.94,0
2022-06-30,8.9,17.5,1.7,1.68,1.85,0
2022-07-01,8.5,18.5,0.8,1.68,1.85,0.2
2022-07-02,8,18.2,-0.3,1.68,1.85,0
2022-07-03,8.1,18.4,-0.1,1.82,2.08,0.2
2022-07-04,6.9,18.3,-1.1,2.01,2.51,0
2022-07-05,8.5,16.8,0.4,0.77,0.98,0.2
2022-07-06,11.3,18.4,7.8,1.26,1.4,0.8
2022-07-07,9.8,14.3,4.1,0.53,0.55,0.6
2022-07-08,13.5,23,6.4,1.84,2.33,0
2022-07-09,14.1,22.5,5.7,2.17,3.35,0
2022-07-10,11.5,17.3,7.8,1.34,1.61,8.4
2022-07-11,7.7,17,3.1,1.34,1.42,0.8
2022-07-12,7.8,19.3,0.4,1.71,1.83,0
2022-07-13,10.4,22.7,0.5,1.86,2.09,0.2
2022-07-14,12.8,17.6,6,0.55,0.62,0
2022-07-15,13.6,20,10.6,1.7,1.98,4.8
2022-07-16,10.3,18.6,6,1.23,1.27,0.2
2022-07-17,9.9,12.6,6.2,0.36,0.36,0.4
2022-07-18,10.5,17.8,6.4,1.21,1.28,4.4
2022-07-19,7.8,12.4,2.6,0.46,0.46,0.2
2022-07-20,12.8,20.7,7.1,1.12,1.34,0.2
2022-07-21,13.8,18.3,10.5,1.29,1.6,4.8
2022-07-22,11.4,18,6,1.2,1.33,1.4
2022-07-23,11.8,16,8.6,0.69,0.86,0.6
2022-07-24,9.2,17.1,3.8,1.53,1.68,14.4
2022-07-25,10.7,16.8,4.9,1.91,2.37,0.2
2022-07-26,11.6,18.7,3.8,1.81,2.24,0
2022-07-27,13.2,20.7,8.6,2.15,2.33,0
2022-07-28,12,22,3.8,2.09,2.49,0
2022-07-29,13.6,17.7,8.4,1.19,1.45,3.6
2022-07-30,11,15.4,9.7,1.49,1.9,7.2
2022-07-31,9.6,17.2,4.1,2.01,2.26,0
2022-08-01,11.4,19.1,4.2,0.91,1.07,10.6
2022-08-02,11.8,15.8,8.7,1.84,2.3,21.6
2022-08-03,10.5,14.6,8.4,1.44,1.75,13.6
2022-08-04,10.5,16.1,8.2,1.37,1.59,11
2022-08-05,8.5,16.1,1.4,1.28,1.38,0.6
2022-08-06,10.8,16.1,5.5,1.57,1.76,0.2
2022-08-07,12.1,18.1,8.5,1.63,1.93,2.6
2022-08-08,11.2,17.5,8,1.21,1.5,0.2
2022-08-09,7.9,12.8,6,1.34,1.53,13.2
2022-08-10,9.3,17.3,1.4,1.97,2.23,1.2
2022-08-11,10,17.9,3.2,1.88,2.04,0.2
2022-08-12,10.9,19.6,2.9,2.47,2.76,0
2022-08-13,11.3,15.3,6.7,0.59,0.73,0
2022-08-14,11.4,18.4,5.1,1.87,2,6
2022-08-15,13.4,22.8,3.8,2.43,2.81,0.2
2022-08-16,15.2,17.5,9,1.08,1.39,30.6
2022-08-17,10.4,16.2,9.4,1.35,1.57,7.8
2022-08-18,8.6,17.1,1.5,2.09,2.23,11.4
2022-08-19,11,19,4.1,1.68,1.82,0
2022-08-20,12.3,20.4,6.5,2.62,2.77,0.2
2022-08-21,11.3,20.4,3.9,2.67,2.92,0
2022-08-22,9.5,15.6,4.8,2.44,2.86,0
2022-08-23,8.7,16.1,3.1,2.4,2.77,0.2
2022-08-24,10.8,18.2,4.5,2.01,2.26,0
2022-08-25,12.7,22.5,4.5,2.8,3.1,0
2022-08-26,11.4,21.8,2.3,3,3.38,0.2
2022-08-27,11.4,18.6,6.6,2.14,2.45,0.4
2022-08-28,9.8,16.1,5.8,1.52,1.67,0.6
2022-08-29,9.2,17.6,3.2,1.99,2.14,0
2022-08-30,9.6,19.4,1.1,2.93,3.21,0
2022-08-31,10.6,19.9,2.3,3.06,3.5,0
2022-09-01,12.7,22.2,6.1,3.24,3.6,0.2
2022-09-02,13.4,21.2,7.7,2.41,2.9,0
2022-09-03,12,13.7,10.6,0.62,0.76,9.4
2022-09-04,14.1,17.6,11.1,0.75,0.83,3
2022-09-05,13.6,18.8,10.6,2.11,2.38,13.4
2022-09-06,10.5,16.6,8.2,1.08,1.18,4.2
2022-09-07,10.8,19.7,3.4,2.02,2.05,0
2022-09-08,11.9,19.3,6.7,1.92,1.94,0.2
2022-09-09,12.2,21.2,5.3,2.9,2.91,0
2022-09-10,12.5,22.5,4.2,3.11,3.13,0.2
2022-09-11,13.3,23.5,4.2,3.22,3.25,0
2022-09-12,15.5,24.1,7.2,3.44,3.51,0
2022-09-13,13.8,16.8,12.5,0.33,0.34,2.2
2022-09-14,12.9,42.4,9.6,NA,NA,3
2022-09-15,12.6,22.1,8.6,NA,NA,0
2022-09-16,12.9,21.6,5.8,NA,NA,0
2022-09-17,12.2,20.9,4.6,NA,NA,0.2
2022-09-18,14,21,8.5,NA,NA,0
2022-09-19,12.2,18,8,NA,NA,0.8
2022-09-20,11.8,18.9,5.6,NA,NA,0
2022-09-21,12.9,21.3,4.8,NA,NA,0
2022-09-22,12.9,19.8,9.7,NA,NA,0.2
2022-09-23,11.8,21.2,2.4,2.6,3.53,0
2022-09-24,12.7,19.9,7.2,3.22,4.39,0
2022-09-25,11.8,19.9,2.1,3.68,4.7,0
2022-09-26,13.3,22.7,4.5,3.83,4.18,0
2022-09-27,14.8,26.1,4.5,4.3,4.71,0
2022-09-28,16.3,27.9,5.5,4.44,5.02,0
2022-09-29,17.6,40.8,8.2,5.08,6.09,0
2022-09-30,17.6,27.7,9.9,4.96,5.81,0
2022-10-01,16.5,27.1,8.3,4.63,5.42,0
2022-10-02,14,20.8,5.3,2.78,3.44,0
2022-10-03,13.6,21.2,9.8,3.39,3.89,0
2022-10-04,15.3,25.5,0.6,4.72,5.48,0
2022-10-05,14.4,20,11.9,3.35,4.04,1.4
2022-10-06,11,19.6,2.6,3.3,3.92,0
2022-10-07,12.3,21.3,3.7,4.18,4.58,0
2022-10-08,13.9,25.9,2.3,5.08,5.98,0
2022-10-09,13.8,22.1,3.8,3.6,4.22,0
2022-10-10,13.6,19.2,-2.1,2.95,3.55,0
2022-10-11,11.5,20.7,1.8,3.82,4.57,0.2
2022-10-12,12.7,20.6,5.1,4.37,5.16,0
2022-10-13,12,29,1.5,4.51,4.97,0
2022-10-14,13.3,23.1,2,4.63,5.27,0
2022-10-15,14.7,25.5,3.3,4.98,5.62,0
2022-10-16,14.4,21.7,6.3,5.04,6.11,0
2022-10-17,14.9,23.4,6.8,4.04,4.76,0.2
2022-10-18,16.3,36.5,6.3,4.83,5.28,0
2022-10-19,19.3,49,5.2,6.14,7.38,0
2022-10-20,17.1,24.6,11.2,3.68,4.27,0
2022-10-21,16.6,22.5,10.6,3,3.59,0.8
2022-10-22,17.2,25.7,12.4,3.22,3.47,2
2022-10-23,15.7,24.5,9.1,2.13,2.35,0
2022-10-24,16.9,22.9,13.3,4.75,5.55,9
2022-10-25,15.6,22.4,9.9,4.31,5.01,0
2022-10-26,16.7,25.8,10,4.52,5.08,0
2022-10-27,16.3,26.1,4.1,4.74,5.4,0
2022-10-28,17.8,26.4,9.3,5.89,7.18,0
2022-10-29,14,19.9,11.4,2.24,2.85,0
2022-10-30,12.3,19.1,9.2,4.28,5.31,0.2
2022-10-31,13.5,22.9,3.7,4.89,5.62,0.2
2022-11-01,15.5,40.5,5.1,4.75,5.36,0
2022-11-02,18.3,27.4,10.1,4.59,5.15,0
2022-11-03,22.1,33,10.4,5.61,6.58,0
2022-11-04,18.6,39.5,11.1,6.03,7.04,0
2022-11-05,18.1,39.4,8.7,5.9,6.89,0
2022-11-06,19.2,28.9,11.2,4.83,5.58,0.8
2022-11-07,19.2,41.4,10.4,4.77,5.46,0
2022-11-08,17.9,23.4,13.7,2.2,2.62,0
2022-11-09,17.9,39.4,10,5.38,6.26,0
2022-11-10,15.5,39,6.8,4.33,5.18,0
2022-11-11,15.4,39.3,10.8,4.36,5.35,0
2022-11-12,13.8,22.3,3.1,4.94,5.84,0
2022-11-13,16.8,24.8,11.5,4.42,5.2,0
2022-11-14,16.9,26.4,7,5.92,6.84,0
2022-11-15,19.9,39.7,9,6.13,6.91,0
2022-11-16,21.2,34.8,8.2,6.4,7.99,0
2022-11-17,15.9,22.1,11.8,4.36,5.16,0
2022-11-18,12.1,39.6,10,3.19,3.68,6.2
2022-11-19,13.7,43.9,5.2,4.02,4.64,2.2
2022-11-20,17,26.8,6.5,5.67,6.25,0
2022-11-21,20.3,31.3,9.9,6.24,7.01,0
2022-11-22,23,34.5,11.8,4.73,5.69,0
2022-11-23,22.7,30.8,16.5,6.9,8.27,2.4
2022-11-24,19.3,39.5,13.2,6.08,7.06,0
2022-11-25,18.1,26.5,10.1,4.87,5.62,0
2022-11-26,20.2,40,10,5.87,6.75,0
2022-11-27,20.1,40.9,12.8,6.65,7.82,0
2022-11-28,21.6,40.9,10.4,6.78,7.8,0
2022-11-29,26.7,41.2,13.4,7,8.07,0
2022-11-30,27.3,36.3,21.6,7.3,9.49,0
2022-12-01,21.7,29.1,18,6.43,7.41,0
2022-12-02,20.8,40,12.7,6.62,7.43,0
2022-12-03,23.3,39.6,13.4,6.66,7.49,0
2022-12-04,22.4,32.2,15.7,7.45,8.97,0
2022-12-05,22.6,32.3,15,7.18,8.46,0
2022-12-06,21.4,29.6,14.2,6.14,7.49,0
2022-12-07,22.9,33,12.6,7.13,8.54,0
2022-12-08,21.6,31.2,14.8,7.31,8.67,0
2022-12-09,19.8,39.4,13.6,6.72,7.83,0
2022-12-10,20.4,29.4,13.7,6.54,7.64,0
2022-12-11,19.9,28.7,11,6.96,8.26,0
2022-12-12,21,30,11.1,7.49,9.06,0
2022-12-13,17.4,24.2,11.4,3.57,4.47,6.8
2022-12-14,22.1,41.1,12.5,7.13,8.57,0
2022-12-15,22.7,31.5,13.8,7.04,8.52,0
2022-12-16,22.1,30.7,13.3,7.57,9.08,0
2022-12-17,22.7,32.8,13,6.52,7.67,0
2022-12-18,25,33.6,16,6.25,7.29,0
2022-12-19,27.1,39,16.5,7.11,8.46,0
2022-12-20,28.9,40.6,17.5,8.02,9.48,0
2022-12-21,27.2,39.6,16.3,7.05,8.52,0
2022-12-22,27.3,38.4,16.1,7.24,8.45,0
2022-12-23,28.9,39.6,17.7,8.19,9.92,0
2022-12-24,27.8,39.6,16.1,8.24,10.04,0
2022-12-25,25.4,42.3,16.1,7.6,8.98,0
2022-12-26,22.8,32.1,15.2,7.4,8.6,0
2022-12-27,23,40.2,13.7,7.36,8.66,0
2022-12-28,22.2,40.5,11.9,7.22,8.55,0
2022-12-29,26,40.2,13.8,7.34,8.48,0
2022-12-30,26.6,39.2,14.5,8.56,10.52,0
2022-12-31,22.7,31.1,16.2,6.47,7.55,0
